elo,elo_diff,move_count,acpl,cpl_std,opening_acpl,middlegame_acpl,endgame_acpl,best_move_rate,top3_rate,blunder_rate,mistake_rate,avg_entropy,avg_complexity,label
1562.0,43.0,63,53.4,178.3432,23.7,18.6,108.1,0.54,0.81,0.05,0.1,0.9582,14.6002,1
1945.0,-125.0,52,30.9,50.3798,22.2,43.5,6.8,0.54,0.73,0.02,0.15,0.9666,15.3741,0
2070.0,125.0,51,71.4,162.3592,16.1,61.3,137.9,0.33,0.71,0.06,0.27,0.9603,13.5179,0
1866.0,243.0,32,78.1,228.5457,31.1,99.5,0.0,0.56,0.59,0.06,0.09,0.8705,14.2016,1
1623.0,-243.0,31,98.8,230.0798,31.3,126.4,0.0,0.42,0.65,0.13,0.13,0.9613,14.0628,0
1673.0,-24.0,39,14.6,26.1279,29.5,9.4,0.0,0.64,0.85,0.0,0.08,0.963,14.3863,1
1697.0,24.0,38,64.2,161.23,30.3,74.7,0.0,0.24,0.58,0.03,0.26,0.9232,11.5188,0
1788.0,-22.0,52,153.0,338.7879,48.5,148.9,250.3,0.31,0.6,0.13,0.12,0.9401,15.2955,0
1810.0,22.0,51,74.7,208.7753,117.2,91.5,1.0,0.35,0.63,0.08,0.18,0.844,8.676,0
1626.0,170.0,25,91.2,231.0577,14.4,142.4,0.0,0.48,0.68,0.12,0.08,0.9519,15.4887,1
1456.0,-170.0,25,12.0,18.4572,5.9,15.4,0.0,0.8,0.92,0.0,0.08,0.9579,14.1753,1
1748.0,-31.0,57,27.8,133.0706,21.2,10.9,61.7,0.54,0.79,0.02,0.04,0.9521,12.9336,1
1779.0,31.0,56,42.2,148.6419,16.0,23.1,90.0,0.43,0.73,0.05,0.05,0.881,10.9947,0
1719.0,8.0,48,20.2,52.8834,46.2,16.2,2.4,0.54,0.75,0.02,0.08,0.948,13.3714,0
1711.0,-8.0,48,21.0,57.8538,31.6,24.0,0.4,0.4,0.83,0.02,0.08,0.9665,13.1861,0
1838.0,6.0,76,97.7,216.9504,72.6,25.5,164.7,0.38,0.7,0.13,0.17,0.9465,12.6505,0
1832.0,-6.0,76,76.1,204.7294,51.4,25.4,123.2,0.54,0.86,0.11,0.08,0.9482,12.5622,1
1527.0,12.0,20,41.5,75.4122,50.0,33.0,0.0,0.65,0.85,0.05,0.15,0.9594,13.9103,1
1515.0,-12.0,19,94.4,228.3628,6.8,173.2,0.0,0.42,0.74,0.11,0.21,0.9398,14.5415,0
1886.0,-28.0,29,71.9,184.5607,44.7,86.3,0.0,0.28,0.62,0.03,0.28,0.9629,15.5477,0
1914.0,28.0,29,48.0,55.1903,74.9,35.9,0.0,0.21,0.59,0.07,0.28,0.9654,13.5662,1
1829.0,-1.0,62,29.2,96.005,14.6,15.5,54.4,0.5,0.82,0.02,0.1,0.9498,14.0916,1
1830.0,1.0,61,93.7,236.7251,8.1,37.3,205.5,0.33,0.59,0.08,0.13,0.9419,11.0264,0
1276.0,-11.0,15,137.6,265.307,81.1,250.6,0.0,0.27,0.4,0.13,0.33,0.9423,14.2759,0
1287.0,11.0,15,16.4,30.7288,23.8,5.3,0.0,0.67,0.73,0.0,0.07,0.9634,15.2424,1
1497.0,-4.0,23,101.3,216.6221,94.9,106.2,0.0,0.35,0.65,0.13,0.17,0.9196,13.9676,0
1501.0,4.0,23,43.7,98.2276,100.6,7.2,0.0,0.65,0.7,0.09,0.17,0.965,15.5278,1
1754.0,3.0,46,28.0,47.4758,14.9,38.0,0.0,0.5,0.83,0.02,0.13,0.9637,14.996,1
1751.0,-3.0,45,68.2,157.0963,18.1,59.9,185.0,0.42,0.64,0.07,0.2,0.9392,12.5748,0
1673.0,0.0,49,26.9,56.5125,52.6,17.2,30.9,0.49,0.82,0.04,0.08,0.9638,14.1703,1
1673.0,0.0,48,60.5,159.8531,13.2,45.2,158.6,0.48,0.75,0.06,0.12,0.9484,12.9564,0
1758.0,-336.0,49,58.3,101.7922,96.7,53.7,30.9,0.35,0.57,0.04,0.37,0.9254,12.5855,1
2094.0,336.0,49,53.7,146.2275,89.1,25.5,106.6,0.33,0.8,0.06,0.12,0.9693,15.0555,1
1900.0,12.0,41,65.0,163.1542,30.6,45.2,1000.0,0.22,0.51,0.05,0.29,0.9333,13.5377,0
1888.0,-12.0,41,19.0,24.6343,22.9,17.8,19.5,0.54,0.83,0.0,0.1,0.9533,14.403,1
1899.0,23.0,70,13.3,19.9884,12.6,18.6,8.2,0.4,0.71,0.0,0.04,0.9625,13.6612,0
1876.0,-23.0,69,35.7,124.5892,16.1,27.4,49.9,0.51,0.78,0.03,0.09,0.9435,10.8359,0
1820.0,-11.0,29,12.9,24.0421,24.1,7.0,0.0,0.59,0.9,0.0,0.1,0.9659,15.8497,1
1831.0,11.0,28,64.0,187.8535,23.4,83.3,0.0,0.46,0.68,0.04,0.21,0.9675,13.4958,0
1905.0,-44.0,31,25.2,40.397,37.6,19.3,0.0,0.55,0.77,0.0,0.13,0.9298,13.479,1
1949.0,44.0,30,57.6,182.5642,17.4,74.8,0.0,0.47,0.6,0.03,0.1,0.9455,13.4813,0
1937.0,-53.0,30,57.6,182.5419,26.3,73.3,0.0,0.57,0.7,0.07,0.13,0.9657,15.5554,0
1990.0,53.0,30,13.9,24.3508,34.0,5.3,0.0,0.67,0.8,0.0,0.07,0.9641,14.6518,1
1452.0,-13.0,31,26.5,33.4971,37.3,21.3,0.0,0.45,0.68,0.0,0.19,0.9616,15.2186,1
1465.0,13.0,30,78.5,179.4203,54.4,88.9,0.0,0.27,0.47,0.03,0.37,0.933,14.0244,0
1940.0,-30.0,50,14.0,26.5338,13.7,16.7,6.1,0.28,0.58,0.0,0.1,0.9452,13.7712,1
1970.0,30.0,50,11.7,22.0582,3.4,17.9,1.8,0.44,0.72,0.0,0.04,0.9724,13.7555,0
1874.0,202.0,54,21.5,31.1895,32.8,20.5,15.5,0.33,0.69,0.0,0.11,0.9607,14.9367,1
1672.0,-202.0,53,52.3,146.7653,21.9,36.4,105.9,0.26,0.6,0.04,0.13,0.9465,13.1539,0
